,BookTitle,Author,URL,Category,Price (EGY),Rate
0,Atomic Habits,James Clear,https://diwanegypt.com/product/atomic-habits/," E Personal Growth, E Self-Help, English Adults",1260.0,A
1,A Little Life,Hanya Yanagihara,https://diwanegypt.com/product/little-life/," E General Fiction, E Literature & Fiction, English Adults",685.0,A
2,It Ends With Us,Colleen Hoover,https://diwanegypt.com/product/it-ends-with-us-2/," E Literature & Fiction, E Romance, English Adults",685.0,A
3,Meditations,Marcus Aurelius,https://diwanegypt.com/product/meditations/," E Ancient Philosophy, E Philosophy, English Adults",630.0,A
4,Silent Patient,Alex Michaelides,https://diwanegypt.com/product/silent-patient/," E Literature & Fiction, E Mystery & Thrillers, English Adults",580.0,A
5,How to Win Friends and Influence People,Dale Carnegie,https://diwanegypt.com/product/how-to-win-friends-and-influence-people/," E Relationships, E Self-Help, English Adults",635.0,A
6,The Body Keeps the Score,Bessel van der Kolk MD,https://diwanegypt.com/product/the-body-keeps-the-score/," E Anxiety & Trauma, E Psychology, English Adults",880.0,A
7,"Thinking, Fast and Slow",Daniel Kahneman,https://diwanegypt.com/product/thinking-fast-and-slow/," E Popular Psychology, E Psychology, English Adults",1010.0,A
8,Alchemist,Paulo Coelho,https://diwanegypt.com/product/alchemist/," E General Fiction, E Literature & Fiction, English Adults",490.0,A
9,Man’s Search for Meaning,Viktor E. Frankl,https://diwanegypt.com/product/mans-search-for-meaning/," E Biography & Memoirs, E Memoirs & Autobiographies, English Adults",690.0,A
10,The Secret History,Donna Tartt,https://diwanegypt.com/product/secret-history/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,A
11,Normal People,Sally Rooney,https://diwanegypt.com/product/normal-people/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,A
12,Before the Coffee Gets Cold,Toshikazu Kawaguchi,https://diwanegypt.com/product/before-the-coffee-gets-cold/," E General Fiction, E Literature & Fiction, English Adults",750.0,A
